MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
30.0,4.0,88.0,76.0,2065.0,14.5,71.0,Europe
34.5,4.0,100.0,0.0,2320.0,15.8,81.0,Europe
0.0,4.0,97.0,48.0,1978.0,20.0,71.0,Europe
25.4,5.0,183.0,77.0,3530.0,20.1,79.0,Europe
28.0,4.0,116.0,90.0,2123.0,14.0,71.0,Europe
16.5,6.0,168.0,120.0,3820.0,16.7,76.0,Europe
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,Europe
28.0,4.0,107.0,86.0,2464.0,15.5,76.0,Europe
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,Japan
38.1,4.0,89.0,60.0,1968.0,18.8,80.0,Japan
23.0,4.0,120.0,97.0,2506.0,14.5,72.0,Japan
32.7,6.0,168.0,132.0,2910.0,11.4,80.0,Japan
27.0,4.0,97.0,88.0,2130.0,14.5,71.0,Japan
29.8,4.0,134.0,90.0,2711.0,15.5,80.0,Japan
37.0,4.0,119.0,92.0,2434.0,15.0,80.0,Japan
28.0,4.0,97.0,92.0,2288.0,17.0,72.0,Japan
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,US
31.0,4.0,112.0,85.0,2575.0,16.2,82.0,US
27.0,4.0,151.0,90.0,2735.0,18.0,82.0,US
28.0,4.0,151.0,90.0,2678.0,16.5,80.0,US
30.0,4.0,111.0,80.0,2155.0,14.8,77.0,US
22.0,4.0,122.0,86.0,2395.0,16.0,72.0,US
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,US
10.0,8.0,360.0,215.0,4615.0,14.0,70.0,US
25.0,4.0,97.5,80.0,2126.0,17.0,72.0,US
36.1,4.0,98.0,66.0,1800.0,14.4,78.0,US
27.9,4.0,156.0,105.0,2800.0,14.4,80.0,US
10.0,8.0,307.0,200.0,4376.0,15.0,70.0,US
17.0,8.0,305.0,130.0,3840.0,15.4,79.0,US
34.5,4.0,105.0,70.0,2150.0,14.9,79.0,US
32.0,4.0,135.0,84.0,2295.0,11.6,82.0,US
18.1,6.0,258.0,120.0,3410.0,15.1,78.0,US
9.0,8.0,304.0,193.0,4732.0,18.5,70.0,US
16.0,6.0,250.0,100.0,3781.0,17.0,74.0,US
22.0,6.0,225.0,100.0,3233.0,15.4,76.0,US
23.0,6.0,198.0,95.0,2904.0,16.0,73.0,US
27.0,4.0,151.0,90.0,2950.0,17.3,82.0,US
26.0,4.0,156.0,92.0,2585.0,14.5,82.0,US
28.0,4.0,98.0,80.0,2164.0,15.0,72.0,US
18.5,6.0,250.0,110.0,3645.0,16.2,76.0,US
15.0,8.0,318.0,150.0,3777.0,12.5,73.0,US
24.5,4.0,98.0,60.0,2164.0,22.1,76.0,US
