MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,Europe
29.8,4.0,89.0,62.0,1845.0,15.3,80.0,Europe
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,Europe
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,Europe
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,Europe
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,Europe
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,Europe
34.5,4.0,100.0,0.0,2320.0,15.8,81.0,Europe
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,Europe
30.0,4.0,146.0,67.0,3250.0,21.8,80.0,Europe
0.0,4.0,121.0,110.0,2800.0,15.4,81.0,Europe
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,Europe
23.0,4.0,120.0,88.0,2957.0,17.0,75.0,Europe
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,Europe
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,Europe
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,Europe
31.0,4.0,79.0,67.0,2000.0,16.0,74.0,Europe
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,Europe
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,Europe
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,Europe
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,Europe
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,Europe
39.4,4.0,85.0,70.0,2070.0,18.6,78.0,Japan
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,Japan
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,Japan
32.7,6.0,168.0,132.0,2910.0,11.4,80.0,Japan
32.0,4.0,85.0,70.0,1990.0,17.0,76.0,Japan
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,Japan
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,Japan
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,Japan
38.1,4.0,89.0,60.0,1968.0,18.8,80.0,Japan
46.6,4.0,86.0,65.0,2110.0,17.9,80.0,Japan
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,Japan
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,Japan
37.2,4.0,86.0,65.0,2019.0,16.4,80.0,Japan
20.0,6.0,156.0,122.0,2807.0,13.5,73.0,Japan
32.0,4.0,83.0,61.0,2003.0,19.0,74.0,Japan
35.0,4.0,72.0,69.0,1613.0,18.0,71.0,Japan
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,Japan
32.2,4.0,108.0,75.0,2265.0,15.2,80.0,Japan
32.4,4.0,108.0,75.0,2350.0,16.8,81.0,Japan
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,Japan
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,Japan
37.0,4.0,119.0,92.0,2434.0,15.0,80.0,Japan
