sepal.length,sepal.width,petal.length,petal.width,variety
4.8,3.0,1.4,0.3,Setosa
5.2,3.4,1.4,0.2,Setosa
5.1,3.7,1.5,0.4,Setosa
5.1,3.5,1.4,0.2,Setosa
4.6,3.2,1.4,0.2,Setosa
4.9,3.6,1.4,0.1,Setosa
5.2,4.1,1.5,0.1,Setosa
4.6,3.4,1.4,0.3,Setosa
5.8,4.0,1.2,0.2,Setosa
5.5,4.2,1.4,0.2,Setosa
4.7,3.2,1.6,0.2,Setosa
5.7,4.4,1.5,0.4,Setosa
5.2,3.5,1.5,0.2,Setosa
5.0,3.3,1.4,0.2,Setosa
5.1,3.8,1.5,0.3,Setosa
5.7,2.6,3.5,1.0,Versicolor
5.7,3.0,4.2,1.2,Versicolor
6.0,2.2,4.0,1.0,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.7,3.1,4.7,1.5,Versicolor
5.9,3.2,4.8,1.8,Versicolor
5.6,2.5,3.9,1.1,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5.0,2.0,3.5,1.0,Versicolor
5.8,2.7,3.9,1.2,Versicolor
6.4,3.2,4.5,1.5,Versicolor
5.0,2.3,3.3,1.0,Versicolor
6.1,2.9,4.7,1.4,Versicolor
6.8,2.8,4.8,1.4,Versicolor
5.7,2.5,5.0,2.0,Virginica
7.4,2.8,6.1,1.9,Virginica
6.5,3.0,5.8,2.2,Virginica
6.9,3.2,5.7,2.3,Virginica
5.8,2.7,5.1,1.9,Virginica
7.2,3.6,6.1,2.5,Virginica
7.1,3.0,5.9,2.1,Virginica
7.7,3.8,6.7,2.2,Virginica
6.7,3.0,5.2,2.3,Virginica
6.4,3.1,5.5,1.8,Virginica
6.7,3.3,5.7,2.1,Virginica
7.7,3.0,6.1,2.3,Virginica
5.8,2.7,5.1,1.9,Virginica
6.7,2.5,5.8,1.8,Virginica
6.1,3.0,4.9,1.8,Virginica
