Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Peugeot 504,27.2,4,141.0,71.0,3190.0,24.8,79,Europe
BMW 2002,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
Renault 12 (sw),26.0,4,96.0,69.0,2189.0,18.0,72,Europe
Volvo 244DL,22.0,4,121.0,98.0,2945.0,14.5,75,Europe
Volkswagen Pickup,44.0,4,97.0,52.0,2130.0,24.6,82,Europe
Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe
Volkswagen Rabbit,29.5,4,97.0,71.0,1825.0,12.2,76,Europe
Renault 12tl,27.0,4,101.0,83.0,2202.0,15.3,76,Europe
Opel Manta,26.0,4,97.0,78.0,2300.0,14.5,74,Europe
Volvo 144ea,19.0,4,121.0,112.0,2868.0,15.5,73,Europe
Volvo 264gl,17.0,6,163.0,125.0,3140.0,13.6,78,Europe
Fiat 128,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
Volkswagen Rabbit Custom Diesel,43.1,4,90.0,48.0,1985.0,21.5,78,Europe
Volvo Diesel,30.7,6,145.0,76.0,3160.0,19.6,81,Europe
Audi 100LS,23.0,4,115.0,95.0,2694.0,15.0,75,Europe
Audi 5000s (diesel),36.4,5,121.0,67.0,2950.0,19.9,80,Europe
Volvo 145e (sw),18.0,4,121.0,112.0,2933.0,14.5,72,Europe
Saab 99e,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
Volvo 245,20.0,4,130.0,102.0,3150.0,15.7,76,Europe
Volkswagen Dasher,25.0,4,90.0,71.0,2223.0,16.5,75,Europe
Audi 100 LS,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
Volkswagen Model 111,27.0,4,97.0,60.0,1834.0,19.0,71,Europe
Peugeot 504,23.0,4,120.0,88.0,2957.0,17.0,75,Europe
Volkswagen Dasher (diesel),43.4,4,90.0,48.0,2335.0,23.7,80,Europe
Saab 99LE,25.0,4,121.0,115.0,2671.0,13.5,75,Europe
Volkswagen Dasher,30.5,4,97.0,78.0,2190.0,14.1,77,Europe
Peugeot 604sl,16.2,6,163.0,133.0,3410.0,15.8,78,Europe
Volkswagen Super Beetle,26.0,4,97.0,46.0,1950.0,21.0,73,Europe
Fiat 124 TC,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
Renault 5 GTL,36.0,4,79.0,58.0,1825.0,18.6,77,Europe
Renault Lecar Deluxe,40.9,4,85.0,0.0,1835.0,17.3,80,Europe
Peugeot 504,25.0,4,110.0,87.0,2672.0,17.5,70,Europe
Fiat x1.9,31.0,4,79.0,67.0,2000.0,16.0,74,Europe
Audi 4000,34.3,4,97.0,78.0,2188.0,15.8,80,Europe
Volkswagen Rabbit C (Diesel),44.3,4,90.0,48.0,2085.0,21.7,80,Europe
Mercedes-Benz 280s,16.5,6,168.0,120.0,3820.0,16.7,76,Europe
Audi 100LS,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
Audi 5000,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
Saab 99le,24.0,4,121.0,110.0,2660.0,14.0,73,Europe
Volkswagen Super Beetle 117,0.0,4,97.0,48.0,1978.0,20.0,71,Europe
Volkswagen Type 3,23.0,4,97.0,54.0,2254.0,23.5,72,Europe
Fiat 131,28.0,4,107.0,86.0,2464.0,15.5,76,Europe
Citroen DS-21 Pallas,0.0,4,133.0,115.0,3090.0,17.5,70,Europe
Opel 1900,28.0,4,116.0,90.0,2123.0,14.0,71,Europe
