Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Fiat 128,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
Fiat 128,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe
Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,46.0,1835.0,20.5,70,Europe
Volkswagen Rabbit C (Diesel),44.3,4,90.0,48.0,2085.0,21.7,80,Europe
Fiat 124 TC,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
Volvo 145e (sw),18.0,4,121.0,112.0,2933.0,14.5,72,Europe
Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
Honda Accord LX,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
Datsun B210,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
Datsun PL510,27.0,4,97.0,88.0,2130.0,14.5,71,Japan
Subaru DL,30.0,4,97.0,67.0,1985.0,16.4,77,Japan
Toyota Corolla,31.0,4,76.0,52.0,1649.0,16.5,74,Japan
Datsun 510 (sw),28.0,4,97.0,92.0,2288.0,17.0,72,Japan
Ford Maverick,24.0,6,200.0,81.0,3012.0,17.6,76,US
Chevrolet Malibu,20.5,6,200.0,95.0,3155.0,18.2,78,US
Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US
Ford F250,10.0,8,360.0,215.0,4615.0,14.0,70,US
Oldsmobile Omega,11.0,8,350.0,180.0,3664.0,11.0,73,US
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.0,13.0,73,US
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
AMC Ambassador SST,17.0,8,304.0,150.0,3672.0,11.5,72,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US
Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.0,18.0,73,US
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US
AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US
Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
Ford Grenada,18.5,6,250.0,98.0,3525.0,19.0,77,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0,4456.0,13.5,72,US
Plymouth Fury III,15.0,8,318.0,150.0,4135.0,13.5,72,US
Dodge D100,13.0,8,318.0,150.0,3755.0,14.0,76,US
Ford Torino,17.0,8,302.0,140.0,3449.0,10.5,70,US
Ford Gran Torino,16.0,8,302.0,140.0,4141.0,14.0,74,US
Plymouth Custom Suburb,13.0,8,360.0,170.0,4654.0,13.0,73,US
Pontiac Safari (sw),13.0,8,400.0,175.0,5140.0,12.0,71,US
