Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen Dasher,25.0,4,90.0,71.0,2223.0,16.5,75,Europe
Fiat 128,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
BMW 2002,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
Audi 100 LS,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
Fiat 124 Sport Coupe,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
Saab 99le,24.0,4,121.0,110.0,2660.0,14.0,73,Europe
Saab 900s,0.0,4,121.0,110.0,2800.0,15.4,81,Europe
Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
Peugeot 504,23.0,4,120.0,88.0,2957.0,17.0,75,Europe
Opel Manta,24.0,4,116.0,75.0,2158.0,15.5,73,Europe
Volkswagen Rabbit,29.8,4,89.0,62.0,1845.0,15.3,80,Europe
Saab 99e,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
Mercedes-Benz 240d,30.0,4,146.0,67.0,3250.0,21.8,80,Europe
Volkswagen Rabbit Custom,31.9,4,89.0,71.0,1925.0,14.0,79,Europe
Volkswagen Dasher,30.5,4,97.0,78.0,2190.0,14.1,77,Europe
Volkswagen Super Beetle 117,0.0,4,97.0,48.0,1978.0,20.0,71,Europe
Audi 100LS,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
Saab 99LE,25.0,4,121.0,115.0,2671.0,13.5,75,Europe
Mercedes Benz 300d,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
Audi 5000s (diesel),36.4,5,121.0,67.0,2950.0,19.9,80,Europe
Volkswagen Dasher (diesel),43.4,4,90.0,48.0,2335.0,23.7,80,Europe
Audi 5000,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
Datsun 510,27.2,4,119.0,97.0,2300.0,14.7,78,Japan
Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
Toyota Corolla Mark ii,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
Toyota Corolla,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
Toyota Celica GT Liftback,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
Mazda RX3,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
Toyota Corolla Liftback,26.0,4,97.0,75.0,2265.0,18.2,77,Japan
Toyota Corolla Hardtop,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
Datsun 280-ZX,32.7,6,168.0,132.0,2910.0,11.4,80,Japan
Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
Datsun B210,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
Mazda RX2 Coupe,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
Datsun B-210,32.0,4,85.0,70.0,1990.0,17.0,76,Japan
Datsun 610,22.0,4,108.0,94.0,2379.0,16.5,73,Japan
Datsun 810,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.0,18.0,73,US
Plymouth Valiant,18.0,6,225.0,105.0,3121.0,16.5,73,US
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
Chevrolet Chevette,32.1,4,98.0,70.0,2120.0,15.5,80,US
Ford Grenada ghia,18.0,6,250.0,78.0,3574.0,21.0,76,US
Oldsmobile Omega Brougham,26.8,6,173.0,115.0,2700.0,12.9,79,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,US
Ford Maverick,18.0,6,250.0,88.0,3021.0,16.5,73,US
Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
Chevrolet Nova,18.0,6,250.0,105.0,3459.0,16.0,75,US
Chevrolet Citation,28.8,6,173.0,115.0,2595.0,11.3,79,US
